run_id,claim_name,source_recipe,family,adapter_name,adapter_label,metric,status,point,ci95_low,ci95_high,groups,rows,iterations
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_function_name_accuracy,complete,0.95,0.91,0.99,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,IFEval_instruction_accuracy,complete,0.7295597484276729,0.6624203821656051,0.7951807228915663,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,IFEval_prompt_strict_accuracy,complete,0.55,0.45,0.65,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,BFCL_core_accuracy,complete,0.6966666666666667,0.6433333333333333,0.7466666666666667,300,300,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,When2Call_behavior_accuracy,complete,0.5933333333333334,0.5366666666666666,0.6466666666666666,300,300,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,When2Call_macro_F1,complete,0.4867582417582418,0.44536176282524226,0.526536083857736,300,300,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,SFT_dev_tool_call_accuracy,complete,0.7008547008547008,0.6524216524216524,0.7464387464387464,351,351,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,SFT_dev_behavior_accuracy,complete,0.776,0.74,0.812,500,500,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,strict_parse_success,complete,0.9259259259259259,0.9002849002849003,0.9515669515669516,351,351,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,schema_validity,complete,1.0,1.0,1.0,351,351,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,nontrivial_error_rate,complete,0.3333333333333333,0.2966666666666667,0.37,600,600,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,FunctionChat_argument_accuracy,complete,0.85,0.77,0.92,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,FunctionChat_output_type_accuracy,complete,0.85,0.78,0.91,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,FunctionChat_function_name_accuracy,complete,0.94,0.89,0.98,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,IFEval_instruction_accuracy,complete,0.6981132075471698,0.6341463414634146,0.7612903225806451,100,100,1000
s3d001,noised_gold_unfiltered_3k,noised_gold_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,IFEval_prompt_strict_accuracy,complete,0.51,0.41,0.6,100,100,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,BFCL_core_accuracy,complete,0.6833333333333333,0.63,0.7366666666666667,300,300,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,When2Call_behavior_accuracy,complete,0.6266666666666667,0.57,0.68,300,300,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,When2Call_macro_F1,complete,0.5240981760289158,0.4820032491458431,0.5619751082251082,300,300,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,SFT_dev_tool_call_accuracy,complete,0.7720797720797721,0.7293447293447294,0.8176638176638177,351,351,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,SFT_dev_behavior_accuracy,complete,0.824,0.788,0.856,500,500,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,strict_parse_success,complete,0.9914529914529915,0.9829059829059829,1.0,351,351,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,schema_validity,complete,1.0,1.0,1.0,351,351,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,nontrivial_error_rate,complete,0.30833333333333335,0.2683333333333333,0.345,600,600,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_argument_accuracy,complete,0.81,0.74,0.88,100,100,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_output_type_accuracy,complete,0.81,0.73,0.88,100,100,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_function_name_accuracy,complete,0.92,0.86,0.97,100,100,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,FunctionChat_tool_hallucination_rate,complete,0.0,0.0,0.0,100,100,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,IFEval_instruction_accuracy,complete,0.7232704402515723,0.6486486486486487,0.7933333333333333,100,100,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,checkpoint_step_0050,step50,IFEval_prompt_strict_accuracy,complete,0.56,0.46,0.66,100,100,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,BFCL_core_accuracy,complete,0.6633333333333333,0.61,0.72,300,300,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,When2Call_behavior_accuracy,complete,0.64,0.5866666666666667,0.6933333333333334,300,300,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,When2Call_macro_F1,complete,0.5291562444166518,0.4892392824977094,0.5657905999456492,300,300,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,SFT_dev_tool_call_accuracy,complete,0.7692307692307693,0.7236467236467237,0.8148148148148148,351,351,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,SFT_dev_behavior_accuracy,complete,0.81,0.776,0.844,500,500,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,strict_parse_success,complete,0.9914529914529915,0.98005698005698,1.0,351,351,1000
s3d002,behavior_unfiltered_3k,behavior_unfiltered,single_source_unfiltered_control,dpo_best_adapter,final,schema_validity,complete,1.0,1.0,1.0,351,351,1000
