mixed_run_id,mixed_adapter_label,mixed_source_recipe,comparator_run_id,comparator_adapter_label,comparator_source_recipe,comparator_family,metric,direction,mixed_value,comparator_value,mixed_minus_comparator,mixed_delta_vs_r004,comparator_delta_vs_r004,mixed_minus_comparator_delta
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,nontrivial_error_rate,lower_is_better,0.31333333333333335,0.3,0.013333333333333364,-0.046666666666666634,-0.06,0.013333333333333364
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,nontrivial_error_rate,lower_is_better,0.31333333333333335,0.3383333333333333,-0.024999999999999967,-0.046666666666666634,-0.021666666666666667,-0.024999999999999967
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,nontrivial_error_rate,lower_is_better,0.31333333333333335,0.30833333333333335,0.0050000000000000044,-0.046666666666666634,-0.05166666666666664,0.0050000000000000044
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,primary_envelope_score,higher_is_better,0.606496,0.594932,0.011564000000000019,,,
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,primary_envelope_score,higher_is_better,0.606496,0.604818,0.0016780000000000683,,,
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,primary_envelope_score,higher_is_better,0.606496,0.596016,0.010480000000000045,,,
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,primary_envelope_score,higher_is_better,0.606496,0.603716,0.0027800000000000047,,,
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,functionchat_bench.output_type_accuracy,higher_is_better,0.83,0.84,-0.010000000000000009,0.0,0.010000000000000009,-0.010000000000000009
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,functionchat_bench.output_type_accuracy,higher_is_better,0.83,0.81,0.019999999999999907,0.0,-0.019999999999999907,0.019999999999999907
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,functionchat_bench.output_type_accuracy,higher_is_better,0.83,0.84,-0.010000000000000009,0.0,0.010000000000000009,-0.010000000000000009
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,functionchat_bench.output_type_accuracy,higher_is_better,0.83,0.81,0.019999999999999907,0.0,-0.019999999999999907,0.019999999999999907
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r028,step50,noised_gold_clean,single_source_clean,functionchat_bench.function_name_accuracy,higher_is_better,0.94,0.95,-0.010000000000000009,-0.010000000000000009,0.0,-0.010000000000000009
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,r029,step50,behavior_clean,single_source_clean,functionchat_bench.function_name_accuracy,higher_is_better,0.94,0.92,0.019999999999999907,-0.010000000000000009,-0.029999999999999916,0.019999999999999907
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d001,step50,noised_gold_unfiltered,single_source_unfiltered_control,functionchat_bench.function_name_accuracy,higher_is_better,0.94,0.95,-0.010000000000000009,-0.010000000000000009,0.0,-0.010000000000000009
s5r002,step50,mixed_clean_noised_gold_1500_behavior_1500,s3d002,step50,behavior_unfiltered,single_source_unfiltered_control,functionchat_bench.function_name_accuracy,higher_is_better,0.94,0.92,0.019999999999999907,-0.010000000000000009,-0.029999999999999916,0.019999999999999907
